income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,client_segment,sect_empl,prev_stay,prev_all_in_stay,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,gender,shop_am,shop_use,retired,gold_status
5660.0,4320.0,8640.0,0.0,0.0,8000.0,0.0,1.0,0.0,0.0,0.0,11.0,True,6.0,1.0,34033.0,42.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,575.0,0.0,0.0,0.0,52.0,1,4577.729167209796,1.0,0.0,1.0
3990.0,9.0,3450.0,0.0,0.0,12500.0,0.0,0.0,1.0,0.0,0.0,7.0,True,5.0,0.0,36372.0,42.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,174.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0
1158.0,82.0,4194.0,408.0,4.0,12000.0,0.0,0.0,1.0,1.0,0.0,10.0,True,11.0,1.0,37619.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,229.0,0.0,0.0,0.0,222.0,0,0.0,0.0,0.0,0.0
2451.0,791.0,2119.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,True,5.0,0.0,29266.0,66.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,375.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0
946.0,222.0,2036.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,True,0.0,0.0,36221.0,63.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,417.0,0.0,0.0,0.0,34.0,1,0.0,0.0,0.0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,True,6.0,0.0,22576.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0
1359.0,467.0,2395.0,0.0,0.0,12500.0,0.0,0.0,1.0,0.0,0.0,5.0,False,10.0,0.0,18045.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,184.0,0.0,0.0,0.0,13.0,0,0.0,0.0,0.0,0.0
2591.0,869.0,2209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True,7.0,0.0,31751.0,61.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,382.0,0.0,0.0,0.0,2.0,0,1415.021156740573,1.0,1.0,0.0
6426.0,2018.0,9015.0,2333.0,2.0,10000.0,0.0,0.0,1.0,1.0,0.0,10.0,False,3.0,0.0,39853.0,33.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,136.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0
8622.0,3518.0,3014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,False,3.0,0.0,27090.0,79.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,324.0,0.0,0.0,0.0,33.0,1,0.0,0.0,1.0,0.0
280.0,22.0,1956.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,10.0,True,7.0,0.0,33268.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,13.0,1,0.0,0.0,0.0,0.0
374.0,30.0,1729.0,0.0,0.0,5500.0,0.0,0.0,1.0,1.0,0.0,2.0,True,4.0,0.0,32155.0,23.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,107.0,0.0,0.0,0.0,19.0,1,0.0,0.0,0.0,0.0
1386.0,479.0,4054.0,562.0,3.0,8000.0,0.0,0.0,1.0,0.0,0.0,2.0,False,7.0,1.0,28830.0,46.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,323.0,0.0,0.0,0.0,74.0,0,0.0,0.0,0.0,0.0
227.0,0.0,1621.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,True,5.0,0.0,25249.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0
3532.0,1065.0,2337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,True,1.0,0.0,40046.0,58.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,290.0,0.0,0.0,0.0,4.0,1,0.0,0.0,1.0,0.0
1190.0,325.0,6688.0,1676.0,2.0,8500.0,0.0,0.0,1.0,1.0,0.0,4.0,False,5.0,1.0,34869.0,30.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,338.0,0.0,0.0,0.0,52.0,1,920.210463642836,1.0,0.0,0.0
927.0,193.0,8747.0,0.0,1.0,3000.0,0.0,0.0,1.0,0.0,0.0,6.0,True,5.0,1.0,23132.0,23.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,129.0,0.0,1.0,0.0,4.0,1,1017.0028915944011,1.0,0.0,0.0
254.0,10.0,3353.0,117.0,2.0,6500.0,0.0,0.0,0.0,0.0,0.0,14.0,True,11.0,0.0,29018.0,49.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,254.0,0.0,0.0,0.0,28.0,0,0.0,0.0,0.0,0.0
