income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,client_segment,sect_empl,prev_stay,prev_all_in_stay,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,gender,shop_am,shop_use,retired,gold_status,outcome_profit,outcome_damage_inc,outcome_damage_amount
227.0,0.0,3201.0,888.0,6.0,15000.0,0.0,0.0,0.0,1.0,0.0,3.0,True,2.0,1.0,28936.0,37.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,476.0,0.0,0.0,0.0,209.0,0,0.0,0.0,0.0,0.0,1791.66,0,0.0
268.0,16.0,1682.0,0.0,0.0,750.0,0.0,0.0,1.0,1.0,0.0,7.0,True,3.0,0.0,16674.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,1672.78,1,829.66
283.0,23.0,1673.0,0.0,0.0,750.0,0.0,0.0,1.0,0.0,0.0,1.0,True,4.0,0.0,32552.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,95.0,0.0,0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,1001.4,0,0.0
227.0,0.0,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True,8.0,1.0,32252.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,271.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0,1785.59,0,0.0
4091.0,1028.0,3425.0,785.0,2.0,14000.0,0.0,1.0,0.0,1.0,0.0,4.0,False,2.0,1.0,29605.0,26.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,354.0,0.0,0.0,0.0,3.0,1,1454.2106266736826,1.0,0.0,0.0,3140.74,0,0.0
5108.0,289.0,6280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,False,6.0,0.0,27621.0,84.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,350.0,0.0,0.0,0.0,4.0,1,0.0,0.0,1.0,1.0,4318.76,0,0.0
13293.0,28.0,14704.0,0.0,0.0,15000.0,0.0,1.0,1.0,1.0,0.0,8.0,True,18.0,0.0,33459.0,46.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,2.0,324.0,0.0,0.0,0.0,82.0,0,0.0,0.0,0.0,1.0,1676.75,1,888.09
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True,9.0,0.0,29087.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,271.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0,1127.05,0,0.0
229.0,810.0,1620.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,True,6.0,0.0,33508.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,1640.31,0,0.0
229.0,810.0,1620.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,True,6.0,0.0,31718.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,145.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,1861.78,1,981.64
7177.0,2887.0,3770.0,0.0,0.0,15000.0,0.0,0.0,1.0,0.0,0.0,11.0,True,11.0,0.0,34575.0,53.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,167.0,0.0,0.0,0.0,19.0,1,0.0,0.0,0.0,0.0,1761.14,1,483.05
3240.0,1212.0,2750.0,2762.0,6.0,12000.0,0.0,0.0,1.0,0.0,0.0,10.0,True,9.0,1.0,31135.0,53.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,477.0,0.0,0.0,0.0,13.0,1,0.0,0.0,0.0,0.0,2109.04,1,1046.7
489.0,49.0,1870.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2.0,0.0,31990.0,75.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,324.0,0.0,0.0,0.0,39.0,0,0.0,0.0,1.0,0.0,1530.76,0,0.0
